Signature	Contribution
SBS5	71196.9755056545
SBS5	60125.8964755268
SBS5	54996.5243396696
SBS5	53961.9238136347
SBS89	52356.223068184
SBS89	48217.018336779
SBS89	43179.8725711432
SBS40	38335.8809411391
SBS40	31662.205124826
SBS40	29912.5341483315
SBS89	29061.5501242443
SBS40	28706.7005251301
SBS26	15185.2013051965
SBS85	14333.0461033352
SBS1	13357.7042187826
SBS26	13253.8161082935
SBS26	13080.6732569368
SBS85	12932.6574464627
SBS85	12639.5663807543
SBS26	12260.2448585137
SBS1	11407.0858776992
SBS1	11336.8576063417
SBS1	10231.0737507418
SBS37	9844.11796793763
SBS37	9459.72361027812
SBS6	8720.2470225197
SBS6	7567.51861183535
SBS6	7328.34591754433
SBS37	6984.00879241033
SBS33	6696.0960835708
SBS33	6459.35952846641
SBS33	6160.88925148082
SBS32	5971.6170893205
SBS6	5770.35883322125
SBS33	5757.4049193501
SBS32	5618.50256129394
SBS37	5587.26959961491
SBS39	5421.35273304774
SBS19	5291.37679472156
SBS19	5230.6354511315
SBS32	5068.84833562554
SBS19	5021.92522810692
SBS19	5021.00313378037
SBS87	4855.35486226647
SBS85	4807.43408660507
SBS32	4796.9252708286
SBS87	4434.97822720759
SBS87	4147.77264290914
SBS87	4096.1329265162
SBS8	4059.59029533262
SBS39	3457.50881717815
SBS17a	3424.37104347751
SBS39	3133.68934579023
SBS17a	3120.60373266631
SBS7b	2938.39140632609
SBS17a	2768.13987201842
SBS29	2760.04804744504
SBS7b	2480.62930514047
SBS7b	2295.30692946662
SBS30	2276.89908848892
SBS29	2237.22709475348
SBS39	2051.87975849159
SBS10b	1901.95433569775
SBS10b	1794.91784555626
SBS10b	1695.62759396179
SBS10b	1495.32443637289
SBS17a	1408.14397977921
SBS2	1270.29302982441
SBS29	1171.04631955148
SBS2	1047.39670947748
SBS2	886.10054177791
SBS34	799.22730545335
SBS29	689.184652858848
SBS91	653.538936642115
SBS91	492.767236015085
SBS91	438.004696186524
SBS91	408.512894855493
SBS24	299.854672048076
SBS7b	282.753676784999
SBS28	207.168536099533
SBS9	125.658984195159
SBS28	117.311525983799
SBS34	8.75553119266557
SBS13	6.87915047784001
SBS2	0
SBS3	0
SBS4	0
SBS7a	0
SBS7c	0
SBS7d	0
SBS10a	0
SBS10c	0
SBS10d	0
SBS11	0
SBS12	0
SBS14	0
SBS15	0
SBS16	0
SBS17b	0
SBS18	0
SBS20	0
SBS21	0
SBS22	0
SBS23	0
SBS24	0
SBS25	0
SBS28	0
SBS31	0
SBS35	0
SBS36	0
SBS38	0
SBS41	0
SBS42	0
SBS44	0
SBS84	0
SBS86	0
SBS88	0
SBS90	0
SBS92	0
SBS93	0
SBS94	0
SBS3	0
SBS4	0
SBS7a	0
SBS7c	0
SBS7d	0
SBS8	0
SBS9	0
SBS10a	0
SBS10c	0
SBS10d	0
SBS11	0
SBS12	0
SBS13	0
SBS14	0
SBS15	0
SBS16	0
SBS17b	0
SBS18	0
SBS20	0
SBS21	0
SBS22	0
SBS23	0
SBS24	0
SBS25	0
SBS30	0
SBS31	0
SBS34	0
SBS35	0
SBS36	0
SBS38	0
SBS41	0
SBS42	0
SBS44	0
SBS84	0
SBS86	0
SBS88	0
SBS90	0
SBS92	0
SBS93	0
SBS94	0
SBS3	0
SBS4	0
SBS7a	0
SBS7c	0
SBS7d	0
SBS8	0
SBS9	0
SBS10a	0
SBS10c	0
SBS10d	0
SBS11	0
SBS12	0
SBS13	0
SBS14	0
SBS15	0
SBS16	0
SBS17b	0
SBS18	0
SBS20	0
SBS21	0
SBS22	0
SBS23	0
SBS24	0
SBS25	0
SBS28	0
SBS30	0
SBS31	0
SBS35	0
SBS36	0
SBS38	0
SBS41	0
SBS42	0
SBS44	0
SBS84	0
SBS86	0
SBS88	0
SBS90	0
SBS92	0
SBS93	0
SBS94	0
SBS3	0
SBS4	0
SBS7a	0
SBS7c	0
SBS7d	0
SBS8	0
SBS9	0
SBS10a	0
SBS10c	0
SBS10d	0
SBS11	0
SBS12	0
SBS13	0
SBS14	0
SBS15	0
SBS16	0
SBS17b	0
SBS18	0
SBS20	0
SBS21	0
SBS22	0
SBS23	0
SBS25	0
SBS30	0
SBS31	0
SBS34	0
SBS35	0
SBS36	0
SBS38	0
SBS41	0
SBS42	0
SBS44	0
SBS84	0
SBS86	0
SBS88	0
SBS90	0
SBS92	0
SBS93	0
SBS94	0
